h1;h2;h3;h4;h5;h6;h7;h8
0.583447;0.560215;0.536844;0.51083;0.483158;0.459077;0.433784;0.40628
0.58308;0.560043;0.536317;0.511012;0.482986;0.458896;0.433784;0.405823
0.583068;0.55986;0.535995;0.511022;0.482814;0.458887;0.433775;0.407992
0.58324;0.559871;0.535296;0.51085;0.482632;0.459068;0.433956;0.40782
0.583401;0.559699;0.534791;0.510678;0.482632;0.459068;0.433956;0.407648
0.583733;0.559538;0.534092;0.510516;0.482622;0.459059;0.433956;0.407468
0.584249;0.559183;0.533576;0.510172;0.482794;0.45924;0.433965;0.40746
0.584765;0.559011;0.53306;0.509828;0.482966;0.459231;0.433793;0.407632
0.585281;0.558839;0.532533;0.509484;0.483148;0.459403;0.433603;0.40791
0.585809;0.558656;0.532189;0.50914;0.483138;0.459575;0.433793;0.405732
0.586153;0.558645;0.531824;0.508796;0.48331;0.459747;0.433621;0.406076
0.586508;0.558817;0.531824;0.508452;0.483473;0.459919;0.43344;0.406412
0.586692;0.558989;0.531813;0.508098;0.483826;0.460091;0.43344;0.406936
0.586704;0.559161;0.531975;0.507926;0.483989;0.460263;0.43344;0.407272
0.586532;0.559333;0.532319;0.507754;0.484352;0.460435;0.43344;0.407796
0.586371;0.559505;0.532652;0.507572;0.484342;0.460616;0.43344;0.408132
0.586027;0.559677;0.533168;0.507572;0.484524;0.460607;0.43344;0.408647
0.585695;0.559838;0.533673;0.507572;0.484514;0.460788;0.43344;0.409163
0.585179;0.560182;0.534361;0.507562;0.484686;0.460779;0.433431;0.409688
0.584663;0.560537;0.53506;0.507724;0.484868;0.46096;0.433612;0.410032
0.584147;0.560709;0.535576;0.508078;0.484868;0.46096;0.433612;0.410376
0.583619;0.560892;0.536092;0.50824;0.484868;0.46096;0.433612;0.41072
0.583264;0.560903;0.536619;0.508584;0.484878;0.460969;0.433612;0.411072
0.58308;0.560731;0.536973;0.508917;0.484706;0.460788;0.433612;0.411244
0.58308;0.560559;0.537145;0.509444;0.484534;0.460797;0.433612;0.411424
0.583068;0.560387;0.537328;0.509788;0.484362;0.460616;0.433612;0.411424
0.583217;0.560215;0.537339;0.510132;0.48419;0.460625;0.433603;0.411432
0.583733;0.560043;0.537177;0.510476;0.484018;0.460453;0.433784;0.41126
