Configuration 3:  

(using maxima)

6 - 52 	 T:  0.8792391304347824
6 - 53 	 T:  0.8788297872340427
6 - 54 	 T:  0.8788541666666667
6 - 55 	 T:  0.8781632653061224
6 - 56 	 T:  0.8787999999999999
6 - 57 	 T:  0.8786274509803922
6 - 58 	 T:  0.8787499999999999
6 - 59 	 T:  0.8777358490566037
6 - 60 	 T:  0.8780555555555557
6 - 61 	 T:  0.878909090909091
6 - 62 	 T:  0.8786607142857142
6 - 63 	 T:  0.8778070175438596
6 - 64 	 T:  0.8785344827586207
6 - 65 	 T:  0.8778813559322034
6 - 66 	 T:  0.8785833333333334
6 - 67 	 T:  0.8781147540983606
6 - 68 	 T:  0.8783064516129032
6 - 69 	 T:  0.8784920634920634
6 - 70 	 T:  0.8785156249999999
6 - 71 	 T:  0.8771538461538462
6 - 72 	 T:  0.8783333333333333
6 - 73 	 T:  0.8785074626865672
6 - 74 	 T:  0.8771323529411766
6 - 75 	 T:  0.8771739130434784
6 - 76 	 T:  0.8784285714285716
6 - 77 	 T:  0.8782394366197184
6 - 78 	 T:  0.8775000000000001
6 - 79 	 T:  0.8774657534246576
6 - 80 	 T:  0.8783783783783784
6 - 81 	 T:  0.8784000000000002
6 - 82 	 T:  0.8783552631578949
6 - 83 	 T:  0.8783116883116885
6 - 84 	 T:  0.8783974358974359
6 - 85 	 T:  0.8782911392405064
6 - 86 	 T:  0.878125
6 - 87 	 T:  0.8783333333333334
6 - 88 	 T:  0.8782317073170732
6 - 89 	 T:  0.878253012048193
6 - 90 	 T:  0.8781547619047619
6 - 91 	 T:  0.8782941176470589
6 - 92 	 T:  0.8782558139534884
6 - 93 	 T:  0.8782183908045977
6 - 94 	 T:  0.878125
6 - 95 	 T:  0.8780898876404495
6 - 96 	 T:  0.878388888888889
6 - 97 	 T:  0.8777472527472527
6 - 98 	 T:  0.8781521739130436
6 - 99 	 T:  0.8781182795698925
6 - 100 	 T:  0.8780851063829788
6 - 101 	 T:  0.8780526315789474
6 - 102 	 T:  0.8780729166666666
6 - 103 	 T:  0.8780927835051546
6 - 104 	 T:  0.8779081632653061
6 - 105 	 T:  0.877929292929293
6 - 106 	 T:  0.8781
6 - 107 	 T:  0.8780198019801981
6 - 108 	 T:  0.8780882352941176
