Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
15 - 18 	 T:  0.8033333333333333
15 - 19 	 T:  0.8050000000000002
15 - 20 	 T:  0.8039999999999999
15 - 21 	 T:  0.8049999999999997
15 - 22 	 T:  0.802857142857143
15 - 23 	 T:  0.80375
15 - 24 	 T:  0.8044444444444443
15 - 25 	 T:  0.8039999999999999
15 - 26 	 T:  0.8045454545454547
15 - 27 	 T:  0.8041666666666666
15 - 28 	 T:  0.8038461538461538
15 - 29 	 T:  0.8035714285714286
15 - 30 	 T:  0.8039999999999999
15 - 31 	 T:  0.80375
15 - 32 	 T:  0.8035294117647059
15 - 33 	 T:  0.8038888888888889
15 - 34 	 T:  0.8036842105263158
15 - 35 	 T:  0.8035
15 - 36 	 T:  0.8038095238095238
15 - 37 	 T:  0.8036363636363636
15 - 38 	 T:  0.8039130434782608
15 - 39 	 T:  0.8041666666666667
15 - 40 	 T:  0.8036
15 - 41 	 T:  0.8038461538461538
15 - 42 	 T:  0.8037037037037038
15 - 43 	 T:  0.8039285714285713
15 - 44 	 T:  0.8037931034482759
15 - 45 	 T:  0.8036666666666666
15 - 46 	 T:  0.8035483870967741
15 - 47 	 T:  0.80375
15 - 48 	 T:  0.8036363636363637
15 - 49 	 T:  0.8035294117647059
15 - 50 	 T:  0.8034285714285714
15 - 51 	 T:  0.8033333333333333
15 - 52 	 T:  0.8035135135135134
16 - 17 	 T:  0.7999999999999989
16 - 18 	 T:  0.8049999999999997
16 - 19 	 T:  0.8066666666666666
16 - 20 	 T:  0.8049999999999997
16 - 21 	 T:  0.8059999999999995
16 - 22 	 T:  0.8033333333333333
16 - 23 	 T:  0.8042857142857142
16 - 24 	 T:  0.8049999999999997
16 - 25 	 T:  0.8044444444444443
16 - 26 	 T:  0.805
16 - 27 	 T:  0.8045454545454543
16 - 28 	 T:  0.8041666666666666
16 - 29 	 T:  0.8038461538461538
16 - 30 	 T:  0.8042857142857142
16 - 31 	 T:  0.8039999999999999
16 - 32 	 T:  0.80375
16 - 33 	 T:  0.8041176470588234
16 - 34 	 T:  0.8038888888888889
16 - 35 	 T:  0.8036842105263158
16 - 36 	 T:  0.8039999999999999
16 - 37 	 T:  0.8038095238095238
16 - 38 	 T:  0.804090909090909
16 - 39 	 T:  0.8043478260869565
16 - 40 	 T:  0.80375
16 - 41 	 T:  0.8039999999999999
16 - 42 	 T:  0.8038461538461539
16 - 43 	 T:  0.8040740740740739
16 - 44 	 T:  0.8039285714285714
16 - 45 	 T:  0.8037931034482758
16 - 46 	 T:  0.8036666666666665
16 - 47 	 T:  0.8038709677419354
16 - 48 	 T:  0.8037500000000001
16 - 49 	 T:  0.8036363636363636
16 - 50 	 T:  0.8035294117647058
16 - 51 	 T:  0.8034285714285715
16 - 52 	 T:  0.803611111111111
17 - 18 	 T:  0.8100000000000005
17 - 19 	 T:  0.8100000000000005
17 - 20 	 T:  0.8066666666666666
17 - 21 	 T:  0.8074999999999997
17 - 22 	 T:  0.8040000000000003
17 - 23 	 T:  0.805
17 - 24 	 T:  0.8057142857142855
17 - 25 	 T:  0.8049999999999999
17 - 26 	 T:  0.8055555555555558
17 - 27 	 T:  0.8049999999999999
17 - 28 	 T:  0.8045454545454546
17 - 29 	 T:  0.8041666666666667
17 - 30 	 T:  0.8046153846153845
17 - 31 	 T:  0.8042857142857143
17 - 32 	 T:  0.804
17 - 33 	 T:  0.804375
17 - 34 	 T:  0.8041176470588235
17 - 35 	 T:  0.8038888888888889
